Mass,Formula,Isomers,BS,MS,,Nominal Mass,MolGen Isomers,Beilstein,NIST MS Database,,,,,ADG/Beilstein,ADG/NIST,Nominal Mass,MolGen Isomers,Beilstein,NIST MS Database,,Nominal Mass,ADG Number of Isomers,% MOD,%BS,%NIST
136,C10O,64352,0,0,,,,,,,,,,,,,,,,,,,,,
136,C10H16,24938,932,135,,,,,,,,,,,,,,,,,,,,,
136,C11H4,1885531,1,0,,,,,,,,,,,,,,,,,,,,,
138,C2H2O7,202,0,0,,,,,,,,,,,,,,,,,,,,,
138,C3H6O6,1294,0,0,,,,,,,,,,,,,,,,,,,,,
138,C4H10O5,655,10,0,,,,,,,,,,,,,,,,,,,,,
138,C6H2O4,84414,2,0,,,,,,,,,,,,,,,,,,,,,
138,C7H6O3,696019,103,13,,,,,,,,,,,,,,,,,,,,,
138,C8H10O2,607376,876,81,,,,,,,,,,,,,,,,,,,,,
138,C9H14O,118215,2032,96,,,,,,,,,,,,,,,,,,,,,
138,C10H2O,1175685,0,0,,,,,,,,,,,,,,,,,,,,,
138,C10H18,5568,633,113,,,,,,,,,,,,,,,,,,,,,
138,C11H6,3717018,1,0,,,,,,,,,,,,,,,,,,,,,
140,CO8,4,0,0,,,,,,,,,,,,,,,,,,,,,
140,C2H4O7,256,0,0,,,,,,,,,,,,,,,,,,,,,
140,C3H8O6,324,0,0,,,,,,,,,,,,,,,,,,,,,
140,C5O5,2711,1,0,,,,,,,,,,,,,,,,,,,,,
140,C6H4O4,240785,24,3,,,,,,136,3797225,2336,273,,,,,,,,,,,,
140,C7H8O3,582423,336,31,,,,,,138,6406446,3657,303,,,,,,,,,,,,
140,C8H12O2,254468,1881,106,,,,,,140,10292400,4408,338,,,,,,,,,,,,
140,C9O2,84548,0,0,,,,,,142,14498259,3902,290,,,,,,,,,,,,
140,C9H16O,29172,1885,107,,,,,,144,18044479,2983,239,,,,,,,,,,,,
140,C10H4O,4654419,0,0,,,,,,146,22884651,2299,181,,,,,,,,,,,,
140,C10H20,852,252,89,,,,,,148,35076496,2350,210,,,,,,,,,,,,
140,C11H8,4442438,29,2,,,,,,150,59356042,3571,286,,,,,,,,,,,,
142,CH2O8,20,0,0,,,,,,,,,,,,,,,,,,,,,
142,C2H6O7,98,0,0,,,,,,,,,,,,,,,,,,,,,
142,C5H2O5,33662,2,1,,,,,,,,,,,,,,,,,,,,,
142,C6H6O4,310776,134,13,,,,,,,,,,,,,,,,,,,,,
142,C7H10O3,308660,854,27,,,,,,,,,,,,,,,,,,,,,
142,C8H14O2,72534,1915,128,,,,,,,,,,,,,,,,,,,,,
142,C9H2O2,1481754,0,0,,,,,,,,,,,,,,,,,,,,,
142,C9H18O,4745,800,78,,,,,,,,,,,,,,,,,,,,,
142,C10H6O,8671508,12,0,,,,,,,,,,,,,,,,,,,,,
142,C10H22,75,75,37,,,,,,,,,,,,,,,,,,,,,
142,C11H10,3614427,110,6,,,,,,,,,,,,,,,,,,,,,
144,O9,1,0,0,,,,,,,,,,,,,,,,,,,,,
144,CH4O8,15,0,0,,,,,,,,,,,,,,,,,,,,,
