There were 3704 Peaks found from m/z=   106.72    to m/z=   983.50.
NEGATIVE ION MODE
Noise threshold: 0.012182        Peak threshold: 0.017403

Calibration parameters: A = 144217945.493776 , B = -350102700.706502 and Trap Plate Voltage = -1.000000
Center of Mass for the Assigned Window is   391.7691

 There were ,1168 odd peaks, and ,2536 even peaks

Peak Number,Mass,Rel. Abundance,RP,Kendrick Mass,Nom. Mass,Odd/Even,Nom. Z,KMD,Series Fit,DBE,Group,,Molecular Formula
     119, 376.111873,  0.0502, 1085927.12,  375.6919,  376,   1,  -2, 308,  64,10.0,,O8 13C1 ,*,C,18,H,19,,,O,8,,,,,13C,1, ,,,,,,,,,,
     120, 390.127527,  0.0368, 1028557.47,  389.6919,  390,   1,  -2, 308,  64,10.0,,O8 13C1 ,*,C,19,H,21,,,O,8,,,,,13C,1, ,,,,,,,,,,
     121, 404.143172,  0.0315, 1020150.95,  403.6919,  404,   1,  -2, 308,  64,10.0,,O8 13C1 ,*,C,20,H,23,,,O,8,,,,,13C,1, ,,,,,,,,,,
     122, 418.158813,  0.0356,  957089.77,  417.6919,  418,   1,  -2, 308,  64,10.0,,O8 13C1 ,*,C,21,H,25,,,O,8,,,,,13C,1, ,,,,,,,,,,
     123, 442.086045,  0.0302,  932047.80,  441.5924,  442,   1,  -6, 408,  65,14.0,,O10 13C1 ,*,C,21,H,17,,,O,10,,,,,13C,1, ,,,,,,,,,,
     124, 456.101677,  0.1127,  865283.58,  455.5924,  456,   1,  -6, 408,  65,14.0,,O10 13C1 ,*,C,22,H,19,,,O,10,,,,,13C,1, ,,,,,,,,,,
     125, 484.132957,  0.0318,  736245.56,  483.5924,  484,   1,  -6, 408,  65,14.0,,O10 13C1 ,*,C,24,H,23,,,O,10,,,,,13C,1, ,,,,,,,,,,
     126, 498.148622,  0.0278,  785033.81,  497.5924,  498,   1,  -6, 408,  65,14.0,,O10 13C1 ,*,C,25,H,25,,,O,10,,,,,13C,1, ,,,,,,,,,,
     127, 512.164266,  0.0265,  735204.32,  511.5924,  512,   1,  -6, 408,  65,14.0,,O10 13C1 ,*,C,26,H,27,,,O,10,,,,,13C,1, ,,,,,,,,,,
     128, 526.179917,  0.0157,  632649.65,  525.5924,  526,   1,  -6, 408,  65,14.0,,O10 13C1 ,*,C,27,H,29,,,O,10,,,,,13C,1, ,,,,,,,,,,
     129, 256.075484,  0.1115, 1522387.97,  255.7896,  256,   1, -10, 210,  66, 0.0,,,No Hit
     130, 362.096223,  0.1113, 1108449.83,  361.6919,  362,   1,  -2, 308,  67, 0.0,,,No Hit
     131, 815.967874,  0.1109,  479483.86,  815.0568,  816,   1, -11, -57,  68, 8.0,,N3 O36 ,*,C,15,H,18,N,3,O,36,,,,,,,,,,,,,,,,,
     132, 306.106386,  0.1101, 1332101.04,  305.7646,  306,   1,  -2, 235,  69, 0.0,,,No Hit
     133, 299.907067,  0.1089, 1404958.12,  299.5722,  300,   1,  -8, 428,  70, 0.0,,,No Hit
     134, 414.091134,  0.0414,  957999.37,  413.6288,  414,   1,  -6, 371,  71,13.0,,O9 13C1 ,*,C,20,H,17,,,O,9,,,,,13C,1, ,,,,,,,,,,
     135, 428.106780,  0.0787,  939432.05,  427.6288,  428,   1,  -6, 371,  71,13.0,,O9 13C1 ,*,C,21,H,19,,,O,9,,,,,13C,1, ,,,,,,,,,,
     136, 442.122432,  0.1070,  899295.12,  441.6288,  442,   1,  -6, 371,  71,13.0,,O9 13C1 ,*,C,22,H,21,,,O,9,,,,,13C,1, ,,,,,,,,,,
     137, 484.169356,  0.0147,  759416.74,  483.6288,  484,   1,  -6, 371,  71,13.0,,O9 13C1 ,*,C,25,H,27,,,O,9,,,,,13C,1, ,,,,,,,,,,
     138, 715.974195,  0.1058,  530727.73,  715.1748,  716,   1, -13,-175,  72,36.0,,N1 O15 ,*,C,38,H,6,N,1,O,15,,,,,,,,,,,,,,,,,
     139, 458.158825,  0.1052, 1208660.19,  457.6473,  458,   1,  -4, 353,  73, 0.0,,,No Hit
     140, 270.091134,  0.1047, 1442650.54,  269.7896,  270,   1, -10, 210,  74, 0.0,,,No Hit
     141, 916.446051,  0.1040,  306624.40,  915.4228,  916,   1,  -9,-423,  75,23.0,,N1 O9 S1 ,*,C,55,H,66,N,1,O,9,S,1,,,,,,,,,,,,,,,
     142, 180.059476,  0.1034, 2161349.88,  179.8584,  180,   1,  -2, 142,  76, 0.0,,,No Hit
     143, 163.857760,  0.1021, 2469859.04,  163.6748,  164,   1,  -4, 325,  77, 0.0,,,No Hit
     144, 587.856789,  0.1021,  687423.57,  587.2004,  588,   1,  -1,-200,  78, 5.0,,N1 O32 ,,C,5,H,2,N,1,O,32,,,,,,,,,,,,,,,,,
     145, 728.013218,  0.0121,  383883.82,  727.2004,  728,   1,  -1,-200,  78, 5.0,,N1 O32 ,,C,15,H,22,N,1,O,32,,,,,,,,,,,,,,,,,
     146, 334.086049,  0.0366, 1232237.94,  333.7130,  334,   1,  -2, 287,  79, 5.0,,O10 13C1 ,,C,12,H,17,,,O,10,,,,,13C,1, ,,,,,,,,,,
     147, 348.101704,  0.0447, 1134985.71,  347.7130,  348,   1,  -2, 287,  79, 5.0,,O10 13C1 ,,C,13,H,19,,,O,10,,,,,13C,1, ,,,,,,,,,,
     148, 362.117351,  0.0394, 1136347.49,  361.7130,  362,   1,  -2, 287,  79, 5.0,,O10 13C1 ,,C,14,H,21,,,O,10,,,,,13C,1, ,,,,,,,,,,
     149, 376.133000,  0.0992, 1103257.25,  375.7130,  376,   1,  -2, 287,  79, 5.0,,O10 13C1 ,,C,15,H,23,,,O,10,,,,,13C,1, ,,,,,,,,,,
     150, 252.059439,  0.0978, 1588185.94,  251.7780,  252,   1, -14, 222,  80, 0.0,,,No Hit
     151, 376.075486,  0.0860, 1090631.84,  375.6556,  376,   1,  -2, 344,  81,11.0,,O9 13C1 ,*,C,17,H,15,,,O,9,,,,,13C,1, ,,,,,,,,,,
     152, 390.091138,  0.0392, 1049179.75,  389.6556,  390,   1,  -2, 344,  81,11.0,,O9 13C1 ,*,C,18,H,17,,,O,9,,,,,13C,1, ,,,,,,,,,,
     153, 404.106775,  0.0400, 1017347.97,  403.6556,  404,   1,  -2, 344,  81,11.0,,O9 13C1 ,*,C,19,H,19,,,O,9,,,,,13C,1, ,,,,,,,,,,
     154, 418.122448,  0.0441,  940194.29,  417.6556,  418,   1,  -2, 344,  81,11.0,,O9 13C1 ,*,C,20,H,21,,,O,9,,,,,13C,1, ,,,,,,,,,,
     155, 432.138077,  0.0953,  941490.82,  431.6556,  432,   1,  -2, 344,  81,11.0,,O9 13C1 ,*,C,21,H,23,,,O,9,,,,,13C,1, ,,,,,,,,,,
     156, 514.283079,  0.0950, 1062020.33,  513.7089,  514,   1,  -4, 291,  82, 0.0,,,No Hit
     157, 340.054352,  0.0948, 1193046.17,  339.6747,  340,   1, -10, 325,  83,13.0,,O7 13C1 ,*,C,17,H,11,,,O,7,,,,,13C,1, ,,,,,,,,,,
     158, 368.085666,  0.0287, 1112767.65,  367.6747,  368,   1, -10, 325,  83,13.0,,O7 13C1 ,*,C,19,H,15,,,O,7,,,,,13C,1, ,,,,,,,,,,
     159, 382.101316,  0.0432, 1081987.72,  381.6747,  382,   1, -10, 325,  83,13.0,,O7 13C1 ,*,C,20,H,17,,,O,7,,,,,13C,1, ,,,,,,,,,,
