centrality,generation_formed,smiles_str
0.0,2,C(C(CO)O)(CC(C(CO)O)=O)=O
0.0,2,C(C(CO)O)(C(C(CO)=O)CO)=O
0.0,2,C(CCO)(C(C(C(CO)O)=O)O)=O
0.0,2,C(C(CO)CO)(C(C(CO)=O)O)=O
0.0,2,C(CC(C(C(CO)O)=O)O)(CO)=O
0.0,2,C(CO)(C(CO)C(C(CO)=O)O)=O
0.0,2,C(CC(C(CO)=O)O)(C(CO)O)=O
0.0,2,C(C(C(C(C(CO)O)=O)O)O)(C)=O
0.0,2,C(CC(C(C(C(CO)O)=O)O)O)=O
0.0,2,C(C(CO)C(C(C(CO)=O)O)O)=O
0.0,2,C1(C(CO)OC(C(CO)O)C1O)=O
0.0,2,C1(C(O)OC(C(CO)O)C1CO)=O
0.0,2,C1(C(C(CO)O)OC(C1CO)O)=O
0.0,2,C(C1C(C(C(O1)O)O)O)(CCO)=O
0.0,2,C(C(CO)C1C(C(C(O)O1)O)O)=O
0.0,2,C1(C(CO)OC(C(C1O)O)CO)=O
0.0,2,C1(C(O)OC(CO)C(C1CO)O)=O
0.0,2,C1(C(C(CO)OC(C1CO)O)O)=O
0.0,2,C1(C(C(O)OC(CO)C1CO)O)=O
0.0,2,C1(C(CO)OC(C(C1CO)O)O)=O
0.0,2,C1(C(CO)OCC(C(C1O)O)O)=O
0.0,2,C1(C(O)OCC(C(C1CO)O)O)=O
0.0,2,C1(C(C(COC(C1CO)O)O)O)=O
0.0,2,C1(C(C(O)OCC(C1CO)O)O)=O
0.0,2,C1(C(COC(C(C1CO)O)O)O)=O
0.0,2,C1(C(C(C(O)OCC1CO)O)O)=O
0.0,2,C1(COC(C(C(C1CO)O)O)O)=O
0.0,2,C1(C(CO)OC(C(C(C1)O)O)O)=O
0.0,2,C(C(CO)C(C(C(CO)O)O)O)=O
0.0,2,C(C(C(C(CO)O)O)O)(CCO)=O
0.0,2,C(C(CO)O)(CC(C(CO)O)O)=O
0.0,2,C(CO)(C(CO)C(C(CO)O)O)=O
0.0,2,C(C(C(CO)O)O)(C(CO)CO)=O
0.0,2,C(C(CO)O)(C(CO)C(CO)O)=O
0.0,2,C(CC(C(C=CC(CO)O)=O)O)=O
0.0,2,C(C(C=CC(CO)O)(CC=O)O)=O
0.0,2,C(CC(C(C(C=CCO)=O)O)O)=O
0.0,2,C(CC(C=CCO)(C(C=O)O)O)=O
0.0,2,C(CC(C=CC(C(CO)O)=O)O)=O
